,Date,negative_vader,neutral_vader,positive_vader,negative,neutral,positive,title_vader_sentiment,headline_vader_sentiment,finbert_numeric,average_title_vader_10periods,average_headline_vader_10periods,average_finbert_10periods
181,2016-01-31,5,0,6,0,11,0,-0.07943125,-0.08961666666666665,0.0,-0.053386722222222224,0.09002641666666672,0.006250000000000004
182,2016-02-07,5,1,5,2,8,1,0.0943625,-0.11366875,-0.04166666666666667,-0.049975055555555564,0.0676670416666667,-0.014583333333333328
183,2016-02-14,2,2,6,1,8,1,0.10751249999999998,0.15953958333333335,-0.02083333333333333,-0.04228755555555556,0.06499850000000004,-0.016666666666666663
184,2016-02-21,5,1,5,2,5,4,-0.0009458333333333428,0.054841666666666664,0.20833333333333331,-0.060409638888888895,0.049577666666666714,0.004166666666666668
185,2016-02-28,1,1,5,1,6,0,0.013774999999999996,0.2672375,-0.25,-0.07009222222222222,0.07737916666666671,-0.016666666666666663
186,2016-03-06,7,2,4,4,9,0,-0.01609,-0.18031125,-0.275,-0.06239559722222223,0.05647304166666671,-0.050416666666666665
187,2016-03-13,6,1,3,2,6,2,-0.16444888888888887,-0.06036555555555557,-0.04444444444444443,-0.07543493055555556,0.049226486111111155,-0.03819444444444445
188,2016-03-20,5,1,3,4,5,0,-0.08722499999999998,-0.06917083333333335,-0.4583333333333333,-0.024217430555555548,-0.005360597222222177,-0.08402777777777777
189,2016-03-27,4,0,8,2,8,2,-0.097775,0.07368749999999999,-0.125,-0.03155493055555555,0.012163152777777821,-0.09652777777777777
190,2016-04-03,2,0,7,0,7,2,0.1675875,0.43010624999999997,0.1875,-0.006267847222222217,0.04722794444444448,-0.08194444444444444
191,2016-04-10,7,0,2,3,5,1,0.029395833333333336,-0.3445583333333333,-0.375,0.004614861111111117,0.021733777777777817,-0.11944444444444444
192,2016-04-17,1,2,6,1,6,2,0.062025,0.2311375,-0.0625,0.001381111111111117,0.05621440277777782,-0.12152777777777776
193,2016-04-24,3,0,3,2,4,0,-0.11684999999999998,0.205,-0.16666666666666666,-0.02105513888888888,0.060760444444444485,-0.13611111111111113
194,2016-05-01,6,0,3,2,6,1,0.04956041666666666,0.10089791666666667,-0.08333333333333333,-0.01600451388888888,0.06536606944444448,-0.16527777777777777
195,2016-05-08,4,1,6,4,6,1,-0.1488625,-0.012567499999999995,-0.3,-0.032268263888888885,0.037385569444444475,-0.17027777777777778
196,2016-05-15,5,0,4,5,1,3,-0.14591875,0.04746666666666666,-0.14583333333333331,-0.04525113888888888,0.06016336111111115,-0.1573611111111111
197,2016-05-22,2,0,9,2,8,1,0.095065,0.14248666666666668,-0.05,-0.019299749999999994,0.08044858333333338,-0.15791666666666665
198,2016-05-29,5,0,2,2,4,1,0.0521875,-0.218775,-0.125,-0.005358499999999997,0.06548816666666671,-0.12458333333333331
199,2016-06-05,3,0,10,1,10,2,0.05905,0.21089583333333334,0.08333333333333333,0.010324000000000003,0.07920900000000004,-0.10374999999999998
200,2016-06-12,4,1,2,1,6,0,-0.13615555555555556,-0.15693333333333334,-0.16666666666666666,-0.020050305555555554,0.02050504166666671,-0.13916666666666666
201,2016-06-19,6,3,3,1,11,0,0.08784166666666667,-0.08880208333333334,-0.125,-0.014205722222222222,0.04608066666666671,-0.11416666666666667
202,2016-06-26,3,1,7,0,8,3,0.036041666666666666,0.21329166666666666,0.25,-0.01680405555555555,0.044296083333333375,-0.08291666666666667
203,2016-07-03,2,3,6,1,9,1,0.061162499999999995,0.21914583333333332,-0.0625,0.0009971944444444436,0.04571066666666671,-0.07249999999999998
204,2016-07-10,2,1,7,1,8,1,0.11865555555555556,0.20081111111111113,-0.027777777777777773,0.007906708333333333,0.05570198611111114,-0.06694444444444443
205,2016-07-17,1,1,5,1,5,1,0.15819166666666665,0.36117499999999997,0.08333333333333333,0.038612125,0.09307623611111115,-0.028611111111111098
206,2016-07-24,6,1,3,1,7,2,0.029870833333333333,-0.043949999999999996,0.08333333333333333,0.056191083333333336,0.08393456944444448,-0.005694444444444437
207,2016-07-31,4,3,4,1,9,1,0.06603125,0.08459166666666668,0.0,0.053287708333333336,0.07814506944444449,-0.0006944444444444364
208,2016-08-07,2,1,5,0,8,0,0.04037777777777777,0.26860555555555554,0.0,0.05210673611111112,0.12688312500000004,0.011805555555555564
209,2016-08-14,2,1,4,0,5,2,0.048916666666666664,0.1741111111111111,0.27777777777777773,0.05109340277777778,0.12320465277777781,0.03125000000000001
210,2016-08-21,0,1,7,1,7,0,0.1985958333333333,0.43177499999999996,-0.125,0.08456854166666668,0.18207548611111116,0.03541666666666667
211,2016-08-28,2,2,4,1,6,1,-0.172975,0.042083333333333334,0.0,0.05848687500000001,0.1951640277777778,0.04791666666666668
212,2016-09-04,4,1,5,2,5,3,-0.1512041666666667,0.09224583333333333,0.0,0.039762291666666665,0.1830594444444445,0.022916666666666675
213,2016-09-11,5,1,6,3,6,3,0.06967333333333335,0.15941166666666665,0.033333333333333326,0.04061337499999999,0.17708602777777782,0.03250000000000001
214,2016-09-18,7,0,4,3,7,1,0.008933333333333333,-0.10247666666666667,0.06666666666666665,0.029641152777777773,0.14675725000000003,0.04194444444444445
215,2016-09-25,3,1,5,0,8,1,-0.038183333333333326,0.23017083333333332,0.08333333333333333,0.010003652777777778,0.13365683333333336,0.041944444444444444
216,2016-10-02,2,0,5,1,4,2,0.006225000000000001,0.15808750000000002,0.125,0.007639069444444443,0.15386058333333336,0.04611111111111112
217,2016-10-09,2,0,5,0,6,1,0.11470000000000001,0.2710125,0.125,0.012505944444444445,0.1725026666666667,0.058611111111111114
218,2016-10-16,2,1,7,3,5,2,0.08061458333333331,0.26880000000000004,-0.22916666666666669,0.016529625,0.17252211111111115,0.035694444444444445
