,Date,negative_vader,neutral_vader,positive_vader,negative,neutral,positive,title_vader_sentiment,headline_vader_sentiment,finbert_numeric,average_title_vader_10periods,average_headline_vader_10periods,average_finbert_10periods
165,2015-09-27,3,0,2,1,2,2,-0.12301111111111111,0.1309888888888889,0.3333333333333333,-0.024807986111111114,0.10786243055555556,-0.12291666666666667
166,2015-10-04,2,0,8,4,2,4,0.03457500000000001,0.240675,-0.275,-0.008800486111111113,0.12963909722222222,-0.13375
167,2015-10-11,6,0,1,4,1,2,-0.2309875,-0.44166666666666665,-0.3333333333333333,-0.04594298611111112,0.10401243055555556,-0.12958333333333333
168,2015-10-18,5,1,4,4,2,4,-0.031219999999999998,-0.09994222222222222,-0.11111111111111112,-0.05274748611111111,0.08286820833333333,-0.12194444444444445
169,2015-10-25,4,0,5,4,3,2,0.06879166666666667,0.12543333333333334,0.0,-0.05097456944444445,0.09362320833333333,-0.10319444444444445
170,2015-11-01,3,2,7,4,3,5,0.004804166666666675,0.24454166666666666,0.25,-0.03049540277777778,0.10864112499999998,-0.06569444444444446
171,2015-11-08,3,3,6,4,3,5,0.03865625,0.16340125,-0.1,-0.03210602777777778,0.10611,-0.07986111111111113
172,2015-11-15,1,3,5,5,2,2,0.053829166666666664,0.04437500000000001,-0.375,-0.030117277777777778,0.09036833333333333,-0.10486111111111111
173,2015-11-22,4,1,3,5,3,0,0.025506250000000008,-0.044675000000000006,-0.625,-0.031012902777777778,0.043327499999999984,-0.15069444444444446
174,2015-11-29,3,0,7,4,4,2,0.20516666666666666,0.20172500000000002,-0.3333333333333333,0.004611055555555554,0.056485624999999984,-0.15694444444444444
175,2015-12-06,2,1,8,6,4,1,0.12802583333333334,0.034290833333333326,-0.5166666666666666,0.02971475,0.046815819444444434,-0.24194444444444443
176,2015-12-13,4,2,3,5,2,2,-0.12220625000000002,-0.0178,-0.3125,0.014036624999999997,0.020968319444444432,-0.2456944444444445
177,2015-12-20,4,1,3,6,2,0,0.024505555555555548,-0.04531111111111111,-0.7777777777777777,0.03958593055555555,0.060603874999999995,-0.29013888888888884
178,2015-12-27,0,0,1,0,1,0,-0.5994,0.4767,0.0,-0.017232069444444453,0.11826809722222223,-0.27902777777777776
