Date,Close,Open,diff,trend,open1,close2,close3,close4,trend1,trend2,trend3,trend4,diff1,diff2,diff3,diff4,negative_vader,neutral_vader,positive_vader,negative,neutral,positive,title_vader_sentiment,headline_vader_sentiment,finbert_numeric,average_title_vader_10periods,average_headline_vader_10periods,average_finbert_10periods,Topic_1_appeared,Topic_-1_appeared,Topic_4_appeared,Topic_2_appeared,Topic_10_appeared,Topic_16_appeared,Topic_0_appeared,Topic_30_appeared,Topic_38_appeared,Topic_9_appeared,Topic_13_appeared,Topic_33_appeared,Topic_25_appeared,Topic_17_appeared,Topic_14_appeared,Topic_12_appeared,Topic_8_appeared,Topic_18_appeared,Topic_23_appeared,Topic_29_appeared,Topic_31_appeared,Topic_5_appeared,Topic_7_appeared,Topic_11_appeared,Topic_6_appeared,Topic_35_appeared,Topic_34_appeared,Topic_21_appeared,Topic_36_appeared,Topic_15_appeared,Topic_3_appeared,Topic_26_appeared,Topic_22_appeared,Topic_27_appeared,Topic_28_appeared,Topic_37_appeared,Topic_32_appeared,Topic_19_appeared,Topic_20_appeared,Topic_24_appeared
2012-09-16,58.97999954223633,58.5,0.8205120380108174,1,58.95000076293945,58.93000030517578,59.5099983215332,60.880001068115234,1,0,1,1,0.5597930654563863,-0.03392783291742672,0.9499534373981008,3.2739614591983677,1.0,0.0,3.0,4.0,0.0,0.0,-0.0635166666666666,0.3158833333333333,-1.0,-0.10339625,-0.0031566666666666,-0.0375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-23,59.279998779296875,58.95000076293945,0.5597930654563863,1,58.56999969482422,59.5099983215332,60.880001068115234,63.5099983215332,1,1,1,1,0.6146501830755097,1.6049148567642069,3.9440009993634138,8.434349756613587,1.0,0.0,1.0,0.0,1.0,1.0,-0.05135,0.1537,0.5,-0.05134125,0.0122133333333333,0.0125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-30,58.93000030517578,58.56999969482422,0.6146501830755097,1,59.93000030517578,60.880001068115234,63.5099983215332,63.119998931884766,0,1,1,1,-0.7008209269211453,1.5851839781442607,5.97363256820848,5.322874370874121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-07,59.5099983215332,59.93000030517578,-0.7008209269211453,0,60.279998779296875,63.5099983215332,63.119998931884766,57.41999816894531,1,1,1,0,0.9953588270881482,5.35832715269674,4.711347395652713,-4.744526656052003,1.0,2.0,0.0,0.0,3.0,0.0,-0.085,-0.0129,0.0,-0.08863125,0.0207233333333333,0.0125,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-14,60.880001068115234,60.279998779296875,0.9953588270881482,1,63.709999084472656,63.119998931884766,57.41999816894531,56.70000076293945,0,0,0,0,-0.31392366318240483,-0.9260715132103728,-9.872862982131696,-11.002979786954155,3.0,2.0,0.0,3.0,2.0,0.0,0.0051166666666666,-0.42665,-0.5,-0.0839133333333333,0.0007470833333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-21,63.5099983215332,63.709999084472656,-0.31392366318240483,0,62.880001068115234,57.41999816894531,56.70000076293945,58.099998474121094,1,0,0,0,0.3816759855165266,-8.683210570011493,-9.828244593191481,-7.601785166663986,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0258,0.0,-0.0592183333333333,-0.0011129166666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-28,63.119998931884766,62.880001068115234,0.3816759855165266,1,59.04999923706055,56.70000076293945,58.099998474121094,58.900001525878906,0,0,0,0,-2.760374410118916,-3.9796757061534462,-1.6088074093373068,-0.2540181424549454,0.0,0.0,3.0,1.0,1.0,1.0,0.3231,0.6376333333333334,0.0,-0.0609083333333333,0.0626504166666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-04,57.41999816894531,59.04999923706055,-2.760374410118916,0,57.220001220703125,58.099998474121094,58.900001525878906,58.13999938964844,0,1,1,1,-0.9087739368581615,1.5379189700184268,2.9360368216279062,1.6078261959429008,1.0,0.0,6.0,3.0,3.0,1.0,0.2092916666666666,0.451125,-0.4583333333333333,-0.0226358333333333,0.0981429166666666,-0.0791666666666666,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-11,56.70000076293945,57.220001220703125,-0.9087739368581615,0,57.099998474121094,58.900001525878906,58.13999938964844,58.060001373291016,1,1,1,1,1.7513135319140523,3.152369702030047,1.82136767656604,1.6812660679930056,1.0,2.0,5.0,4.0,1.0,3.0,0.0996125,0.3693875,-0.1875,0.0551354166666666,0.2053416666666666,-0.0645833333333333,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-18,58.099998474121094,57.099998474121094,1.7513135319140523,1,59.0,58.13999938964844,58.060001373291016,59.290000915527344,0,0,0,1,-0.1694889391882945,-1.4576281531382416,-1.59321801137116,0.4915269754700742,3.0,1.0,5.0,2.0,7.0,0.0,-0.0197933333333333,0.0359266666666666,-0.1333333333333333,0.0479960833333333,0.1687443333333333,-0.1779166666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
