,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Title,Link,Headline,Article,Source
3532,3532.0,3532.0,3532.0,3532.0,3532.0,3532.0,3532.0,3532.0,3532.0,3532.0,3532.0,2014-02-20,Tribunal sides with Ecopetrol in production dispute with PRE,https://hydrocarbonscolombia.com/article/tribunal-sides-with-ecopetrol-in-production-dispute-with-pre/,The Arbitration Tribunal of Bogotá’s Chamber of Commerce sided with Ecopetrol in a prolonged dispute over the formula used to figure payments received from Pacific Rubiales (TSX:PRE) in the Quifa field.,The Arbitration Tribunal of Bogotá’s Chamber of Commerce sided with Ecopetrol in a prolonged dispute over the formula used to figure payments received from Pacific Rubiales (TSX:PRE) in the Quifa field.,Hydrocarbons
3533,3533.0,3533.0,3533.0,3533.0,3533.0,3533.0,3533.0,3533.0,3533.0,3533.0,3533.0,2014-02-19,PRE planning US$5B in 2014 purchasing plan,https://hydrocarbonscolombia.com/article/pre-planning-us5b-in-2014-purchasing-plan/,"Pacific Rubiales Energy (TSX:PRE) will increase its purchases of goods and services in in 2014 to US$5B, a US$1B increase over 2013 as it looks to meet exploration and production goals for the year.","Pacific Rubiales Energy (TSX:PRE) will increase its purchases of goods and services in in 2014 to US$5B, a US$1B increase over 2013 as it looks to meet exploration and production goals for the year.",Hydrocarbons
3534,3534.0,3534.0,3534.0,3534.0,3534.0,3534.0,3534.0,3534.0,3534.0,3534.0,3534.0,2014-02-18,Labor Minister addresses oil hiring with agencies,https://hydrocarbonscolombia.com/article/labor-minister-addresses-oil-hiring-with-agencies/,"During a seminar with the La Esmeralda community in Acacías, Meta, the Labor Minister Rafael Pardo addressed issues surrounding social investment and environmental impact, but the hiring practices, especially those involving employment agencies generated the most discussion.","During a seminar with the La Esmeralda community in Acacías, Meta, the Labor Minister Rafael Pardo addressed issues surrounding social investment and environmental impact, but the hiring practices, especially those involving employment agencies generated the most discussion.",Hydrocarbons
3535,3535.0,3535.0,3535.0,3535.0,3535.0,3535.0,3535.0,3535.0,3535.0,3535.0,3535.0,2014-02-17,USO defines schedule for Ecopetrol negotiation,https://hydrocarbonscolombia.com/article/uso-defines-schedule-for-ecopetrol-negotiation/,The USO has finalized the collective bargaining schedule for this year after deciding to file a new list of terms and withdraw from its current collective bargaining agreement with Ecopetrol (NYSE:EC).,The USO has finalized the collective bargaining schedule for this year after deciding to file a new list of terms and withdraw from its current collective bargaining agreement with Ecopetrol (NYSE:EC).,Hydrocarbons
3536,3536.0,3536.0,3536.0,3536.0,3536.0,3536.0,3536.0,3536.0,3536.0,3536.0,3536.0,2014-02-17,MinMins signs memo on renewable energies,https://hydrocarbonscolombia.com/article/minmins-signs-memo-on-renewable-energies/,"The Ministry of Mines and Energy signed a memorandum of understanding with emission reductions organizations, Carbon War Room, during an event in the British Virgin Islands to encourage, implement and strengthen renewable energies in a policy view for the San Andrés Islands.","The Ministry of Mines and Energy signed a memorandum of understanding with emission reductions organizations, Carbon War Room, during an event in the British Virgin Islands to encourage, implement and strengthen renewable energies in a policy view for the San Andrés Islands.",Hydrocarbons
3537,3537.0,3537.0,3537.0,3537.0,3537.0,3537.0,3537.0,3537.0,3537.0,3537.0,3537.0,2014-02-12,"Colombia, Venezuela make advances on illegal fuel sales",https://hydrocarbonscolombia.com/article/colombia-venezuela-make-advances-on-illegal-fuel-sales/,"Authorities from Colombia and Venezuela met in Maracaibo last week and have penned an agreement to collaborate against the sale of contraband fuel on their shared border, and opened the door to selling Venezuelan fuel once again.","Authorities from Colombia and Venezuela met in Maracaibo last week and have penned an agreement to collaborate against the sale of contraband fuel on their shared border, and opened the door to selling Venezuelan fuel once again.",Hydrocarbons
3538,3538.0,3538.0,3538.0,3538.0,3538.0,3538.0,3538.0,3538.0,3538.0,3538.0,3538.0,2014-02-12,Ecopetrol puts its cards on the table,https://hydrocarbonscolombia.com/article/ecopetrol-puts-its-cards-on-the-table/,Recently Ecopetrol (NYSE:EC) gave its annual purchasing strategy presentation to its accredited providers. The chart shows a pie chart of all purchases as well as a breakdown of the Oil Services category.,Recently Ecopetrol (NYSE:EC) gave its annual purchasing strategy presentation to its accredited providers. The chart shows a pie chart of all purchases as well as a breakdown of the Oil Services category.,Hydrocarbons
3539,3539.0,3539.0,3539.0,3539.0,3539.0,3539.0,3539.0,3539.0,3539.0,3539.0,3539.0,2014-02-11,"CSR Wrap: livestock, coursework, trees, aqueducts and more",https://hydrocarbonscolombia.com/article/csr-wrap-livestock-coursework-trees-aqueducts-and-more/,"Corporate Social Responsibility (CSR) Projects for 2014 are already under way, here is a selection of different items that reached press during January of this year, among them projects including technical training, donated trees, infrastructure and more.","Corporate Social Responsibility (CSR) Projects for 2014 are already under way, here is a selection of different items that reached press during January of this year, among them projects including technical training, donated trees, infrastructure and more.",Hydrocarbons
3540,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,2014-02-11,Environmentalist: water march will derail Santos mining/energy train,https://hydrocarbonscolombia.com/article/environmentalist-water-march-will-derail-santos-mining-energy-train/,"The upcoming march on February 20th to protest extractive industry activities near water sources will “derail the Santos’ destructive engine” says the president of Meta’s energy, mining and environmental committee, Timoteo Romero Morales.","The upcoming march on February 20th to protest extractive industry activities near water sources will “derail the Santos’ destructive engine” says the president of Meta’s energy, mining and environmental committee, Timoteo Romero Morales.",Hydrocarbons
3541,3541.0,3541.0,3541.0,3541.0,3541.0,3541.0,3541.0,3541.0,3541.0,3541.0,3541.0,2014-02-10,Acacías protests take a violent turn,https://hydrocarbonscolombia.com/article/acacias-protests-take-a-violent-turn/,"Community protests accusing Ecopetrol (NYSE:EC) of not holding up to social investment promises took a violent turn over the weekend, with more than 26 arrests and violent clashes between riot police and protesters.","Community protests accusing Ecopetrol (NYSE:EC) of not holding up to social investment promises took a violent turn over the weekend, with more than 26 arrests and violent clashes between riot police and protesters.",Hydrocarbons
3542,3542.0,3542.0,3542.0,3542.0,3542.0,3542.0,3542.0,3542.0,3542.0,3542.0,3542.0,2014-02-10,USO celebrates 91st birthday,https://hydrocarbonscolombia.com/article/uso-celebrates-91st-birthday/,The USO celebrated its 91st birthday this past week and honored the hallmark date with a long statement that centered on its radical agenda.,The USO celebrated its 91st birthday this past week and honored the hallmark date with a long statement that centered on its radical agenda.,Hydrocarbons
3543,3543.0,3543.0,3543.0,3543.0,3543.0,3543.0,3543.0,3543.0,3543.0,3543.0,3543.0,2014-02-06,Canacol acquires shale assets,https://hydrocarbonscolombia.com/article/canacol-acquires-shale-assets/,"Oil producer Canacol Energy (TSX:CNE) has acquired two E&P contracts associated with shale deposits, which it says is part of its strategy to develop greater shale oil reserves and which makes it the second largest shale oil position behind Ecopetrol (NYSE:EC).","Oil producer Canacol Energy (TSX:CNE) has acquired two E&P contracts associated with shale deposits, which it says is part of its strategy to develop greater shale oil reserves and which makes it the second largest shale oil position behind Ecopetrol (NYSE:EC).",Hydrocarbons
3544,3544.0,3544.0,3544.0,3544.0,3544.0,3544.0,3544.0,3544.0,3544.0,3544.0,3544.0,2014-02-05,Barrancabermeja Refinery modernization unlikely to start in 2015,https://hydrocarbonscolombia.com/article/barrancabermeja-refinery-modernization-unlikely-to-start-in-2015/,The USO oil workers union says that the Barrancabermeja Refinery modernization project not start in 2015 despite promises last year from Ecopetrol (NYSE:EC). The NOC would neither confirm nor deny the rumors.,The USO oil workers union says that the Barrancabermeja Refinery modernization project not start in 2015 despite promises last year from Ecopetrol (NYSE:EC). The NOC would neither confirm nor deny the rumors.,Hydrocarbons
3545,3545.0,3545.0,3545.0,3545.0,3545.0,3545.0,3545.0,3545.0,3545.0,3545.0,3545.0,2014-02-05,Comptroller turns focus to Reficar,https://hydrocarbonscolombia.com/article/comptroller-turns-focus-to-reficar/,"Colombia’s comptroller Sandra Morelli was back making rounds with radio stations this week while visiting Cartagena, criticizing what she says is the “poor planning” which has dogged the Cartagena Refinery (Reficar) project.","Colombia’s comptroller Sandra Morelli was back making rounds with radio stations this week while visiting Cartagena, criticizing what she says is the “poor planning” which has dogged the Cartagena Refinery (Reficar) project.",Hydrocarbons
3546,3546.0,3546.0,3546.0,3546.0,3546.0,3546.0,3546.0,3546.0,3546.0,3546.0,3546.0,2014-02-05,Environmental questions reach Arauca,https://hydrocarbonscolombia.com/article/environmental-questions-reach-arauca/,"Community leaders in the municipalities of Tame, Arauca and Hato Corozal, Casanare have formally requested a public hearing to voice questions on the environmental impact of oil production in the Llanos 10 block.","Community leaders in the municipalities of Tame, Arauca and Hato Corozal, Casanare have formally requested a public hearing to voice questions on the environmental impact of oil production in the Llanos 10 block.",Hydrocarbons
3547,3547.0,3547.0,3547.0,3547.0,3547.0,3547.0,3547.0,3547.0,3547.0,3547.0,3547.0,2014-02-04,"Equion expects production of 27,900bd in 2014, talks seismic",https://hydrocarbonscolombia.com/article/equion-expects-production-of-27900bd-in-2014-talks-seismic/,"Oil producer Equion says it expects net oil production in 2014 to increase slightly to 27,900bd in 2014, compared to 27,000bd in 2013, and addressed accusations that seismic exploration is affecting the environment in Casanare.","Oil producer Equion says it expects net oil production in 2014 to increase slightly to 27,900bd in 2014, compared to 27,000bd in 2013, and addressed accusations that seismic exploration is affecting the environment in Casanare.",Hydrocarbons
3548,3548.0,3548.0,3548.0,3548.0,3548.0,3548.0,3548.0,3548.0,3548.0,3548.0,3548.0,2014-02-04,Water at the center of anti-oil march set for Feb. 20,https://hydrocarbonscolombia.com/article/water-at-the-center-of-anti-oil-march-set-for-feb-20/,"Community leaders from 22 municipalities in four departments will participate in a march on February 20th, 2014 in Meta capital of Villavicencio that will reject any oil production or exploration activities near the local water sources as the anti-oil sentiment in the region’s communities grows.","Community leaders from 22 municipalities in four departments will participate in a march on February 20th, 2014 in Meta capital of Villavicencio that will reject any oil production or exploration activities near the local water sources as the anti-oil sentiment in the region’s communities grows.",Hydrocarbons
3549,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,3549.0,2014-02-03,Micro-refinery proposed in Norte de Santander,https://hydrocarbonscolombia.com/article/micro-refinery-proposed-in-norte-de-santander/,"The governor of the Norte de Santander Department Édgar Díaz Contreras has proposed the construction of a micro-refinery with a capacity of 40,000bd to produce fuels for the region which is looking for alternatives after Venezuelan fuel sales were suspended last May.","The governor of the Norte de Santander Department Édgar Díaz Contreras has proposed the construction of a micro-refinery with a capacity of 40,000bd to produce fuels for the region which is looking for alternatives after Venezuelan fuel sales were suspended last May.",Hydrocarbons
